child	parent
GO:0000975	GO:0001067
GO:0000975	GO:0003677
GO:0000976	GO:0043565
GO:0000976	GO:0044212
GO:0000997	GO:0001044
GO:0000997	GO:0001046
GO:0001018	GO:0044212
GO:0001044	GO:0000976
GO:0001044	GO:0001018
GO:0001046	GO:0000976
GO:0001046	GO:0001047
GO:0001047	GO:0044212
GO:0001067	GO:0003676
GO:0003676	GO:0097159
GO:0003676	GO:1901363
GO:0003677	GO:0003676
GO:0004112	GO:0008081
GO:0004114	GO:0004112
GO:0005215	GO:0003674
GO:0005275	GO:0022804
GO:0005275	GO:0022891
GO:0005316	GO:0008509
GO:0005316	GO:0015075
GO:0005316	GO:0022804
GO:0005342	GO:0022891
GO:0005488	GO:0003674
GO:0008028	GO:0046943
GO:0008081	GO:0042578
GO:0008509	GO:0015075
GO:0008514	GO:0008509
GO:0015075	GO:0022891
GO:0015171	GO:0046943
GO:0015399	GO:0022804
GO:0015405	GO:0015399
GO:0015424	GO:0015171
GO:0015424	GO:0031263
GO:0016705	GO:0003674
GO:0016787	GO:0003674
GO:0016788	GO:0016787
GO:0022804	GO:0022857
GO:0022857	GO:0005215
GO:0022891	GO:0005215
GO:0022891	GO:0022857
GO:0031263	GO:0005275
GO:0031263	GO:0042626
GO:0033283	GO:0005342
GO:0033283	GO:0042626
GO:0033284	GO:0033283
GO:0033284	GO:0046943
GO:0033285	GO:0008028
GO:0033285	GO:0033284
GO:0033286	GO:0033285
GO:0033286	GO:0051471
GO:0042578	GO:0016788
GO:0042626	GO:0015405
GO:0042626	GO:0016787
GO:0042626	GO:0022857
GO:0043565	GO:0003677
GO:0044212	GO:0000975
GO:0046943	GO:0005342
GO:0046943	GO:0008514
GO:0046996	GO:0016705
GO:0047055	GO:0046996
GO:0047555	GO:0004114
GO:0051471	GO:0008028
GO:0052767	GO:0016787
GO:0097159	GO:0005488
GO:1901363	GO:0005488
